N,Вид ДТП,Дата,Время,Район,COORD_L,COORD_W,Освещение,Погода,Улица,Цвет,Год выпуска,модель ТС,Марка ТС,Тип привода,Класс,Наружение ПДД,Пол,Возраст
1551,Наезд на пешехода,31.12.2018,16:50,Маймаксанский окр,40.531826,64.647353,В темное время суток, освещение включено,Пасмурно,ул Победы,Белый,2016,Прочие модели ПАЗ,ПАЗ,С задним приводом,Одноэтажные длиной от 5 до 8 м,Нет нарушений,Мужской,27
1552,Столкновение,29.12.2018,13:50,Октябрьский окр,40.521365,64.553074,Светлое время суток,Пасмурно,пр-кт Троицкий,Черный,2013,Land Cruiser,TOYOTA,Полноприводные,В-класс (малый) до 3,9 м,Нет нарушений,Мужской,28
1553,Наезд на пешехода,28.12.2018,7:30,Варавино-Фактория окр,40.638503,64.499939,В темное время суток, освещение включено,Ясно,ул Папанина,Серый,2007,ВАЗ 2112 и модификации,ВАЗ,С передним приводом,В-класс (малый) до 3,9 м,Нарушение правил проезда пешеходного перехода,Мужской,10
1554,Наезд на пешехода,27.12.2018,16:35,Ломоносовский окр,40.549979,64.535988,В темное время суток, освещение включено,Пасмурно,ул Розы Люксембург,Оранжевый,2018,Прочие модели Renault,RENAULT,С передним приводом,В-класс (малый) до 3,9 м,Нарушение правил проезда пешеходного перехода,Мужской,16
1555,Наезд на пешехода,27.12.2018,17:35,Ломоносовский окр,40.53041,64.532192,В темное время суток, освещение включено,Пасмурно,пр-кт Троицкий,не заполнено,не заполнено,не заполнено,не заполнено,не заполнено,В-класс (малый) до 3,9 м,Нарушение правил проезда пешеходного перехода,Не определен,20
1556,Наезд на препятствие,26.12.2018,23:42,Маймаксанский окр,40.506635,64.691488,В темное время суток, освещение включено,Пасмурно,ул Капитана Хромцова,Красный,2017,3er,BMW,Полноприводные,В-класс (малый) до 3,9 м,Несоответствие скорости конкретным условиям движения,Женский,9
1557,Столкновение,25.12.2018,8:53,Майская Горка окр,40.597873,64.531869,Светлое время суток,Пасмурно,пр-кт Московский,Черный,2007,Outlander,MITSUBISHI,Полноприводные,Прочие легковые автомобили,Несоблюдение очередности проезда перекрестков,Мужской,17
1558,Наезд на пешехода,25.12.2018,15:50,Ломоносовский окр,40.565397,64.52875,В темное время суток, освещение включено,Пасмурно,пр-кт Ломоносова,Черный,2012,Прочие модели Mitsubishi,MITSUBISHI,С передним приводом,Прочие легковые автомобили,Нарушение правил проезда пешеходного перехода,Мужской,28
1559,Наезд на пешехода,25.12.2018,7:30,Октябрьский окр,40.548756,64.548482,В темное время суток, освещение включено,Пасмурно,проезд Приорова,Черный,2016,Highlander,TOYOTA,Полноприводные,Прочие легковые автомобили,Нарушение правил проезда пешеходного перехода,Мужской,11
1560,Наезд на препятствие,25.12.2018,0:19,Маймаксанский окр,40.538714,64.657605,В темное время суток, освещение включено,Пасмурно,ул Победы,Черный,2011,Octavia,SKODA,С передним приводом,Е-класс (высший средний, бизнес-класс) до 4,9 м,Нет нарушений,Мужской,20
